2,1,1,9,9,1,1,1,1,9,1,1,9,9,9,1,9,50,50,1,100,1,100,1,100,1,100,1,10,0,50,0,90,0,80,1,20,40,60,80,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,24
5,1,1,9,9,9,1,1,1,9,1,1,9,9,9,1,9,80,50,1,100,1,30,1,35,0,0,0,0,1,0,1,0,1,0,1,0,10,40,50,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,62
6,1,1,9,9,5,5,9,6,5,4,7,5,8,5,1,2,50,50,1,100,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,60,80,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,55
7,1,9,9,5,9,3,6,3,9,1,3,9,9,9,1,9,85,80,1,90,0,35,1,70,0,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,28
8,1,1,9,1,1,9,1,1,5,4,7,5,7,5,3,1,50,50,1,100,0,0,0,30,0,0,0,0,1,70,1,80,1,50,1,0,10,50,80,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,28
11,2,4,5,5,8,8,5,5,3,6,9,5,5,4,4,5,50,50,1,100,0,0,1,30,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,53
13,1,4,9,3,5,7,6,6,2,5,1,3,7,1,6,8,50,30,1,100,1,30,1,30,1,40,0,0,1,40,0,30,0,40,0,0,20,50,60,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,43
14,1,1,9,6,4,5,8,9,5,1,5,7,9,2,1,2,50,50,1,100,0,30,0,40,0,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,25
15,2,5,3,5,2,7,5,6,9,1,1,7,1,9,1,5,70,50,1,100,1,100,1,100,1,100,1,50,1,50,0,100,1,50,1,50,0,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,30
18,2,9,5,4,9,9,1,2,3,5,7,5,7,4,5,9,50,40,1,100,0,0,0,30,0,0,0,0,1,0,0,100,0,100,1,100,0,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,37
